DR Number,Date Reported,Date Occurred,Time Occurred,Reporting District,Address,Cross Street,Location,MO Codes,Lat,Lon
191507742,3/13/2019,2019-03-12,2040,1526,LANKERSHIM BL,ERWIN ST,"(34.1831, -118.3867)",3101 3003 3037 3024 3401 3701 4026,34.1831,-118.3867
181517680,9/11/2018,2018-09-10,2050,1524,OXNARD ST,HOLLYWOOD FY,"(34.1869, -118.3987)",3004 3026 3037 3101 3401 3701 4015,34.1869,-118.3987
191519230,10/19/2019,2019-10-18,2100,1595,VENTURA BL,BLUE CANYON DR,"(34.1413, -118.3877)",3006 3028 3030 3037 3101 3401 3701 4026,34.1413,-118.3877
191513234,6/27/2019,2019-06-27,2105,1545,MAGNOLIA BL,BEN AV,"(34.1649, -118.3943)",3003 3037 3029 3026 3101 3401 3701 4015,34.1649,-118.3943
161505993,2/5/2016,2016-02-05,2105,1525,VICTORY BL,LAUREL CANYON BL,"(34.1867, -118.3965)",3036 3004 3025 3101 3401 3701 4015,34.1867,-118.3965
171510733,4/26/2017,2017-04-25,2110,1599,LANKERSHIM BL,VINELAND AV,"(34.1365, -118.3662)",3004 3037 3030 3028 3101 3401 3701 4026,34.1365,-118.3662
191521899,12/14/2019,2019-12-13,2110,1589,FOREST LAWN DR,BARHAM BL,"(34.1432, -118.3414)",,34.1432,-118.3414
151506553,2/15/2015,2015-02-15,2115,1525,VICTORY BL,AGNES AV,"(34.1867, -118.3954)",3008 3024 3033 3035 3037 3101 3401 3701 4026,34.1867,-118.3954
181509495,4/15/2018,2018-04-13,2140,1548,LANKERSHIM BL,MAGNOLIA BL,"(34.1649, -118.375)",3004 3037 3030 3028 3101 3401 3701 4015,34.1649,-118.375
191518358,10/1/2019,2019-10-01,2140,1532,WHITSETT AV,VICTORY BL,"(34.1867, -118.4052)",3036 4016 3004 3028 3030 3101 3401 3701,34.1867,-118.4052
181504995,1/19/2018,2018-01-19,2200,1555,MAGNOLIA BL,TUJUNGA AV,"(34.1649, -118.379)",3037 4019 3004 3030 3028 3101 3401 3701,34.1649,-118.379
191507436,3/7/2019,2019-03-06,2205,1589,FOREST LAWN DR,GREENWOOD WY,"(34.1528, -118.3229)",3004 3037 3029 3026 3101 3401 3701 4026,34.1528,-118.3229
161508628,3/26/2016,2016-03-24,2220,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3028 3030 3037 3101 3401 3701 4015,34.1524,-118.3703
151505693,1/31/2015,2015-01-30,2235,1591,COLDWATER CANYON AV,VENTURA BL,"(34.1451, -118.4137)",3004 3037 3030 3028 3101 3401 3701 4026,34.1451,-118.4137
191513310,6/30/2019,2019-06-29,2310,1526,VICTORY BL,BECK AV,"(34.1867, -118.3834)",3003 3024 3029 3034 3037 3101 3401 3701 4026 1402,34.1867,-118.3834
191507183,3/2/2019,2019-03-01,2310,1504,LANKERSHIM BL,SATICOY ST,"(34.2085, -118.3878)",3004 3025 3036 3602 3101 3401 3701 4026 3039,34.2085,-118.3878
181522506,12/9/2018,2018-12-08,2340,1531,HATTERAS ST,COLDWATER CA AV,"(34.174, -118.4095)",3013 3028 3030 3036 3101 3401 3701 4026,34.174,-118.4095
181507605,3/11/2018,2018-03-10,2355,1516,LANKERSHIM BL,ARCHWOOD ST,"(34.1921, -118.3877)",3006 3028 3030 3037 3102 3401 3701 4026,34.1921,-118.3877
181521636,11/22/2018,2018-11-22,2355,1509,CARTWRIGHT AV,VALERIO ST,"(34.2048, -118.3638)",3006 3037 3030 3028 3101 3401 3701 4015,34.2048,-118.3638
171520919,10/22/2017,2017-10-22,1,1599,CAHUENGA,LANKERSHIM,"(34.1372, -118.3633)",1501 3004 3036 3030 3028 3101 3401 3701 4015,34.1372,-118.3633
161512685,6/8/2016,2016-06-08,100,1551,LAUREL CANYON BL,LA MAIDA ST,"(34.1564, -118.3998)",3006 3037 3030 3028 3102 3401 3701 4026 3032,34.1564,-118.3998
151520634,10/28/2015,2015-10-28,105,1547,BURBANK BL,BAKMAN AV,"(34.1673, -118.3816)",3037 3101 3401 3701 4026 3009 3025,34.1673,-118.3816
161510842,5/3/2016,2016-04-30,120,1596,MULHOLLAND DR,DONA PEGITA DR,"(34.1265, -118.3721)",3011 3037 3026 3101 3401 3701 4015,34.1265,-118.3721
191517020,9/8/2019,2019-09-08,120,1569,FORMAN AV,RIVERSIDE DR,"(34.1522, -118.3527)",3028 3006 3030 3037 3101 3701 3401 4015,34.1522,-118.3527
171524187,12/26/2017,2017-12-26,120,1517,VANOWEN ST,KLUMP AV,"(34.194, -118.3757)",3006 3037 3025 3101 3401 3701 4026 3039,34.194,-118.3757
191518268,10/1/2019,2019-10-01,146,1589,BARHAM BL,COYOTE CANYON,"(34.1362, -118.342)",4015 3004 3028 3030 3037 3101 3401 3701,34.1362,-118.342
171504431,1/7/2017,2017-01-07,155,1543,LAUREL CANYON BL,MAGNOLIA BL,"(34.1649, -118.3965)",3004 3030 3032 3028 3101 3401 3701 4015 3037,34.1649,-118.3965
171504371,1/7/2017,2017-01-07,155,1543,LAUREL CANYON BL,MAGNOLIA BL,"(34.1649, -118.3965)",3004 3026 3037 3101 3401 3701 4015,34.1649,-118.3965
181508628,3/29/2018,2018-03-21,200,1543,CORTEEN PL,BURBANK BL,"(34.1722, -118.4019)",3006 3030 3037 3028 3101 3401 3701 4015,34.1722,-118.4019
161505675,1/31/2016,2016-01-31,205,1553,RIVERSIDE DR,KRAFT AV,"(34.1577, -118.3801)",3004 3026 3029 3037 3101 3401 3701 4026,34.1577,-118.3801
191510463,5/5/2019,2019-05-05,210,1549,BURBANK BL,DENNY AV,"(34.1722, -118.3648)",3004 3036 3602 3026 3101 3401 3701 4015,34.1722,-118.3648
171509051,3/18/2017,2017-03-15,210,1501,SATICOY ST,ETHEL AV,"(34.2074, -118.4182)",3008 3037 3029 3025 3101 3401 3701 4015,34.2074,-118.4182
151506482,2/14/2015,2015-02-14,315,1555,MAGNOLIA BL,LANKERSHIM BL,"(34.1649, -118.3746)",3004 3030 3028 3037 3101 3401 3701 4026,34.1649,-118.3746
151509101,4/1/2015,2015-04-01,330,1555,MAGNOLIA BL,LANKERSHIM BL,"(34.1649, -118.3746)",3004 3026 3602 3101 3401 3701 4026 3037,34.1649,-118.3746
191513252,6/28/2019,2019-06-27,340,1551,4700 LAUREL CANYON BL,,"(34.1564, -118.3998)",1300 0605 1501,34.1564,-118.3998
181507953,3/17/2018,2018-03-17,345,1547,TUJUNGA AV,CUMPSTON ST,"(34.1697, -118.379)",3004 3037 3030 3028 3101 3401 3701 4015,34.1697,-118.379
161506000,2/6/2016,2016-02-06,400,1512,VANOWEN ST,COLDWATER CANYON AV,"(34.194, -118.4138)",3006 3026 3037 3101 3401 3701 4026,34.194,-118.4138
181522632,12/11/2018,2018-12-11,415,1588,BARHAM BL,DARK CANYON DR,"(34.1389, -118.3416)",3015 3025 3037 3101 3401 3701 4015,34.1389,-118.3416
191515012,8/1/2019,2019-08-01,430,1523,VICTORY BL,WHITSETT AV,"(34.1867, -118.4052)",3004 3037 3029 3101 3401 3701 4026 3026,34.1867,-118.4052
171506226,2/7/2017,2017-01-21,445,1503,SHERMAN WY,LAUREL CANYON BL,"(34.2006, -118.3965)",3004 3037 3030 3028 3101 3401 3701 4009,34.2006,-118.3965
191504688,1/14/2019,2019-01-14,530,1531,COLDWATER CA AV,TIARA ST,"(34.174, -118.4095)",4009 3006 3037 3602 3026 3101 3401 3701 4015,34.174,-118.4095
151505757,2/2/2015,2015-02-02,545,1531,BURBANK BL,WHITSETT AV,"(34.1722, -118.4052)",3006 3024 3033 3035 3037 3101 3401 3701 4026,34.1722,-118.4052
171506760,2/1/2017,2017-02-01,600,1539,STROHM AV,COLLINS ST,"(34.1758, -118.3643)",3006 3028 3101 3401 3701 4015 3030 3037,34.1758,-118.3643
191522272,12/23/2019,2019-12-19,640,1501,COLDWATER CANYON AV,WILLARD ST,"(34.2179, -118.4144)",3011 3026 3037 3101 4015,34.2179,-118.4144
181518649,9/28/2018,2018-09-28,700,1581,LAUREL CANYON,VALLEYHEART,"(34.1467, -118.3964)",3004 3025 3036 3101 3401 3701 4026,34.1467,-118.3964
171508473,3/17/2017,2017-03-17,700,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3036 3034 3028 3101 3401 3701 4026,34.1524,-118.3703
171521794,11/8/2017,2017-11-08,700,1526,LANKERSHIM,OXNARD,"(34.1794, -118.3856)",3004 3036 3025 3101 3401 4026 3701,34.1794,-118.3856
151512054,5/26/2015,2015-05-26,715,1513,VANOWEN ST,GENTRY AV,"(34.1966, -118.4061)",3004 3037 3030 3028 3101 3401 3701 4026,34.1966,-118.4061
171515959,7/28/2017,2017-07-28,720,1599,CAHUENGA BL,UNIVERSAL CENTER DR,"(34.1321, -118.3529)",3004 3036 3025 3101 3401 3701 4026,34.1321,-118.3529
161519662,10/12/2016,2016-10-12,720,1541,WHITSETT AV,HUSTON ST,"(34.1594, -118.4052)",3004 3028 3030 3036 3101 3401 3701 4026,34.1594,-118.4052
191507374,3/5/2019,2019-03-05,730,1557,RIVERTON AV,HUSTON ST,"(34.1599, -118.3659)",3006 3030 3028 3101 3401 3701 4026 3037,34.1599,-118.3659
161505933,2/5/2016,2016-01-05,750,1527,VICTORY BL,KLUMP AV,"(34.1867, -118.3758)",3037 3030 3028 3101 3401 3701 4026 3006,34.1867,-118.3758
161506566,2/16/2016,2016-02-16,755,1515,RADFORD,HART,"(34.1976, -118.3921)",4026 3008 3025 3036 3035 3033 3101 3401 3701,34.1976,-118.3921
191508848,4/4/2019,2019-04-04,800,1583,TUJUNGA AV,VALLEY SPRING LN,"(34.1468, -118.379)",3004 3037 3026 3101 3701 4026 3401,34.1468,-118.379
151522667,12/3/2015,2015-12-03,800,1546,MAGNOLIA BL,TUJUNGA AV,"(34.1629, -118.3848)",3008 3037 3028 3030 3101 3401 3701 4015,34.1629,-118.3848
191512098,6/5/2019,2019-06-05,805,1555,LANKERSHIM BL,HUSTON ST,"(34.1598, -118.3715)",0947 3025 3036 3101 3401 3701 4015 3012,34.1598,-118.3715
191512715,6/19/2019,2019-06-10,810,1506,VINELAND AV,SHERMAN WY,"(34.2012, -118.3703)",3004 3037 3030 3028 3101 3401 3701 4015,34.2012,-118.3703
161521090,11/5/2016,2016-11-05,825,1583,MOORPARK ST,COLFAX AV,"(34.1504, -118.3877)",3004 3036 3025 3101 3701 4026,34.1504,-118.3877
171520233,10/11/2017,2017-10-11,835,1506,TUJUNGA,SHERMAN,"(34.2012, -118.379)",3004 3037 3029 3026 3101 3401 3701 4026,34.2012,-118.379
161509376,4/8/2016,2016-04-08,845,1547,LANKERSHIM BL,BURBANK BL,"(34.1673, -118.3816)",3004 3030 3028 3101 3401 3701 4015 3036,34.1673,-118.3816
171517074,8/16/2017,2017-08-16,850,1563,MOORPARK ST,IRVINE AV,"(34.1504, -118.3855)",3004 3025 3036 3101 3401 3701 4026,34.1504,-118.3855
181520746,11/5/2018,2018-10-30,900,1538,FULCHER,HATTERAS,"(34.1758, -118.373)",1300 0605 3006 3037 3030 3028 3101 3401 3701 4015,34.1758,-118.373
161505972,2/5/2016,2016-02-05,910,1543,BURBANK BL,LAUREL CANYON BL,"(34.1722, -118.3965)",3004 3030 3028 3037 3101 3401 3701 4026,34.1722,-118.3965
161517930,9/11/2016,2016-09-11,930,1519,RIVERTON AV,VANOWEN ST,"(34.194, -118.3659)",3006 3037 3030 3028 3101 3401 3701 4026,34.194,-118.3659
151509360,4/5/2015,2015-04-05,935,1538,VINELAND AV,OXNARD ST,"(34.1794, -118.3703)",3004 3036 3025 3101 3401 3701 4026,34.1794,-118.3703
181511535,5/22/2018,2018-05-21,935,1505,LANKERSHIM BL,SHERMAN WY,"(34.2012, -118.3878)",3004 3037 3029 3026 3101 3401 3701 4015,34.2012,-118.3878
181510367,5/1/2018,2018-04-30,955,1525,VICTORY BL,LAUREL CANYON AV,"(34.1867, -118.3965)",3004 3036 3025 3101 3401 3701 4015,34.1867,-118.3965
171516913,8/12/2017,2017-08-12,1000,1531,BURBANK BL,BELLAIRE AV,"(34.1722, -118.4094)",3006 3028 3030 3037 3101 3401 3701 4015,34.1722,-118.4094
161517828,9/8/2016,2016-09-08,1000,1531,COLDWATER CANYON AV,TIARA ST,"(34.1785, -118.4137)",3004 3037 3029 3025 3101 3401 3701 4015,34.1785,-118.4137
191517875,9/24/2019,2019-09-24,1000,1517,VANOWEN ST,KLUMP AV,"(34.194, -118.3757)",3006 3037 3026 3101 3401 3701 4026,34.194,-118.3757
151512366,5/30/2015,2015-05-29,1005,1548,TUJUNGA AV,S CHANDLER BL,"(34.1681, -118.379)",3008 3037 3025 3101 3401 3701 4026,34.1681,-118.379
171507182,2/23/2017,2017-02-23,1005,1531,BELLAIRE AV,OXNARD ST,"(34.1794, -118.4094)",3401 3701 4026 3004 3037 3034 3028 3101,34.1794,-118.4094
181514121,7/9/2018,2018-07-09,1020,1586,LANKERSHIM BL,MAIN ST,"(34.1407, -118.3612)",3037 3101 3401 3701 4026 3009 3025,34.1407,-118.3612
181507452,3/6/2018,2018-03-06,1030,1533,BURBANK BL,RADFORD AV,"(34.1722, -118.3921)",3006 3028 3030 3037 3101 3401 3701 4015,34.1722,-118.3921
191522612,12/28/2019,2019-12-28,1040,1505,VALERIO ST,BECK AV,"(34.2049, -118.3834)",3004 3037 3028 3030 3101 4026,34.2049,-118.3834
191521887,12/13/2019,2019-12-13,1045,1555,LANKERSHIM BL,OTSEGO ST,"(34.163, -118.374)",3101 3006 3028 3030 3037 4026,34.163,-118.374
181516888,8/28/2018,2018-08-26,1110,1557,MAGNOLIA BL,DENNY AV,"(34.1649, -118.3642)",3028 3006 3037 3030 3101 3401 3701 4015,34.1649,-118.3642
171512364,5/24/2017,2017-05-24,1130,1595,LAUREL CANYON BL,N SUNSHINE TR,"(34.1372, -118.3929)",3004 3037 3030 3028 3101 3401 3701 4026,34.1372,-118.3929
171518721,9/12/2017,2017-09-12,1130,1522,13000 VICTORY BL,,"(34.1936, -118.4166)",3006 3030 3028 3101 3401 3701 4015,34.1936,-118.4166
191519465,10/24/2019,2019-10-22,1135,1589,FOREST LAWN DR,BARHAM BL,"(34.1432, -118.3414)",3037 3004 3030 3028 3101 3401 3701 4015,34.1432,-118.3414
191520271,11/8/2019,2019-10-26,1140,1539,BURBANK BL,SATSUMA AV,"(34.1722, -118.3675)",3003 3025 3029 3036 3101 3401 3701 4026,34.1722,-118.3675
171512732,5/30/2017,2017-05-30,1145,1562,COLDWATER CA,KLING,"(34.1533, -118.4058)",3005 3037 3030 3028 3101 3401 3701 4015,34.1533,-118.4058
161511567,5/17/2016,2016-05-17,1155,1547,MAGNOLIA BL,HOLLYWOOD FY,"(34.1649, -118.3825)",3004 3036 3025 3101 3401 3701 4026,34.1649,-118.3825
181509909,4/22/2018,2018-04-22,1200,1589,FOREST LAWN DR,BARHAM BL,"(34.1432, -118.3414)",3026 3004 3037 3029 3101 3401 3701 4026,34.1432,-118.3414
181517904,9/15/2018,2018-09-15,1200,1567,LANKERSHIM BL,RIVERSIDE DR,"(34.1523, -118.367)",3004 3026 3037 3101 3401 3701 4026,34.1523,-118.367
181510911,5/11/2018,2018-05-06,1200,1548,CHANDLER BL,LANKERSHIM BL,"(34.1681, -118.3773)",3006 3030 3028 3101 3401 4015 3037 3701,34.1681,-118.3773
191511055,5/16/2019,2019-05-16,1200,1539,CAHUENGA BL,COLLINS AV,"(34.174, -118.3615)",3004 3037 3030 3028 3101 3401 3701 4026,34.174,-118.3615
151513684,6/22/2015,2015-06-22,1200,1525,AGNES AV,HAMLIN ST,"(34.1885, -118.3954)",3004 3036 3026 3101 3401 3701 4026,34.1885,-118.3954
191508579,3/29/2019,2019-03-29,1200,1506,VINELAND AV,VALERIO ST,"(34.2048, -118.3703)",4026 3004 3037 3602 3025 3101 3401 3701,34.2048,-118.3703
161520245,10/21/2016,2016-10-21,1210,1569,VALLEY SPRING LN,CAHUENGA BL,"(34.1468, -118.3615)",3004 3036 3025 3101 3401 3701 4015,34.1468,-118.3615
161511501,5/16/2016,2016-05-16,1215,1591,VENTURA BL,RHODES AV,"(34.1429, -118.403)",3004 3037 3028 3101 3401 3701 4026 3034,34.1429,-118.403
181514894,7/22/2018,2018-07-21,1215,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3004 3036 3026 3101 3401 3701 4015,34.194,-118.4052
191516961,9/7/2019,2019-09-07,1220,1541,WHITSETT AV,MAGNOLIA BL,"(34.1649, -118.4052)",3004 3037 3026 3101 3401 3701 4026,34.1649,-118.4052
151524001,12/29/2015,2015-12-26,1220,1506,VINELAND AV,SHERMAN WY,"(34.2012, -118.3703)",3028 3101 3401 3701 4015 3006 3030 3032 3037,34.2012,-118.3703
191522708,12/30/2019,2019-12-30,1240,1591,VENTURA BL,VANTAGE AV,"(34.1434, -118.3978)",3004 3037 3034 3028 3101 3401 3701 4026,34.1434,-118.3978
171520484,10/15/2017,2017-10-15,1255,1532,LAUREL CANYON BL,BURBANK BL,"(34.1722, -118.3965)",3004 3037 3025 3101 3401 3701 4026,34.1722,-118.3965
151508476,3/20/2015,2015-03-17,1300,1599,CADET CT,CAHUENGA BL,"(34.1271, -118.3457)",3006 3037 3030 3028 3102 3401 3701 4015 3032,34.1271,-118.3457
181511526,5/22/2018,2018-05-21,1300,1562,COLDWATER CANYON AV,KLING ST,"(34.1558, -118.4138)",3004 3037 3030 3028 3101 3401 3701 4015,34.1558,-118.4138
151518216,9/13/2015,2015-09-13,1300,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3004 3037 3026 3101 3401 3701 4026,34.194,-118.4052
151509070,3/31/2015,2015-03-31,1305,1544,LAURELGROVE AV,LA MAIDA ST,"(34.1585, -118.4008)",3004 3036 3025 3101 3401 3701 4026,34.1585,-118.4008
171507114,2/22/2017,2017-02-22,1310,1545,OXNARD ST,COLFAX AV,"(34.1649, -118.3921)",3004 3036 3030 3028 3101 3401 3701 4026,34.1649,-118.3921
191514282,7/15/2019,2019-07-15,1315,1555,MAGNOLIA BL,CRANER AV,"(34.1589, -118.3742)",3004 3028 3030 3036 3101 3401 3701 4015,34.1589,-118.3742
191505792,2/4/2019,2019-02-04,1330,1585,COLDWATER CANYON AV,SARAH ST,"(34.143, -118.3727)",3006 3028 3034 3037 3101 3401 3701 4026,34.143,-118.3727
161505341,1/25/2016,2016-01-25,1330,1586,LANKERSHIM BL,CAHUENGA BL,"(34.1433, -118.3616)",3003 3602 3029 3026 3101 3401 3701 4026 3036,34.1433,-118.3616
171512227,5/23/2017,2017-05-23,1330,1525,VICTORY BL,RADFORD AV,"(34.1867, -118.3921)",3003 3037 3025 3101 3401 3701 4026,34.1867,-118.3921
151522844,12/6/2015,2015-12-06,1330,1523,VICTORY BL,WHITSETT AV,"(34.1867, -118.4052)",3004 3037 3030 3028 3101 3401 3701 4015,34.1867,-118.4052
161513978,6/29/2016,2016-06-29,1335,1533,HOLLYWOOD FY,BURBANK,"(34.1722, -118.3887)",3004 3037 3602 3029 3026 3101 3401 3701 4026,34.1722,-118.3887
171517937,8/30/2017,2017-08-30,1345,1566,VINELAND AV,MOORPARK ST,"(34.1504, -118.3703)",3015 3025 3036 3101 3401 3701 4026,34.1504,-118.3703
151516680,8/17/2015,2015-08-17,1345,1531,BURBANK BL,COLDWATER CANYON AV,"(34.1722, -118.4132)",3004 3036 3034 3028 3101 3401 3701 4026,34.1722,-118.4132
161522122,11/25/2016,2016-11-25,1345,1513,SHERMAN WY,WHITSETT AV,"(34.2012, -118.4052)",3004 3037 3030 3028 3101 4026 3401 3701,34.2012,-118.4052
151510828,5/2/2015,2015-04-23,1400,1526,HAZELHURST PL,ERWIN ST,"(34.1849, -118.3834)",3006 3030 3028 3101 3401 4015 0605 3037,34.1849,-118.3834
171505714,1/31/2017,2016-08-27,1400,1511,SHERMAN WY,COLDWATER CANYON AV,"(34.2012, -118.4138)",3006 3030 3037 3032 3028 3101 3401 3701 4026,34.2012,-118.4138
191508044,3/19/2019,2019-03-18,1415,1567,RIVERSIDE DR,CARTWRIGHT AV,"(34.1522, -118.3631)",3008 3026 3101 3401 3701 4015 3037,34.1522,-118.3631
151523115,12/11/2015,2015-12-11,1430,1522,SHERMAN WY,COLDWATER CANYON AV,"(34.2012, -118.4138)",3004 3036 3030 3028 3101 3401 3701 4026,34.2012,-118.4138
181521439,11/19/2018,2018-11-18,1435,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3025 3036 3101 3401 3701 4015,34.1524,-118.3703
161520258,10/22/2016,2016-10-21,1440,1586,LANKERSHIM BL,CAHUENGA BL,"(34.1433, -118.3616)",3004 3026 3036 3101 3401 3701 4026 3029,34.1433,-118.3616
181509638,4/17/2018,2018-04-17,1440,1535,LANKERSHIM BL,AMELIA ST,"(34.1758, -118.3834)",3004 3037 3026 3101 3401 3701 4026,34.1758,-118.3834
161512214,5/29/2016,2016-05-29,1445,1544,LAUREL CANYON BL,RIVERSIDE DR,"(34.1576, -118.3965)",3004 3026 3037 3101 3401 3701 4015,34.1576,-118.3965
171507548,3/1/2017,2017-03-01,1447,1532,OXNARD ST,SAINT CLAIR AV,"(34.1794, -118.4008)",3004 3037 3029 3025 3101 3401 3701 4026,34.1794,-118.4008
181517983,9/17/2018,2018-09-16,1500,1553,RIVERSIDE DR,VENTURA FY,"(34.156, -118.3874)",3004 3037 3030 3028 3101 3401 3701 4015,34.156,-118.3874
191521803,12/11/2019,2019-12-11,1505,1505,WHITSETT AV,WOODBRIDGE ST,"(34.2036, -118.3833)",3004 3026 3036 3101 4026,34.2036,-118.3833
161518503,9/20/2016,2016-09-20,1520,1501,RATNER ST,FULTON AV,"(34.2173, -118.4189)",3006 3037 3030 3028 3101 3401 3701 4026,34.2173,-118.4189
151518635,9/21/2015,2015-09-21,1540,1511,WOODMAN AV,SATICOY ST,"(34.2037, -118.421)",3004 3037 3034 3028 3030 3101 3401 3701 4026,34.2037,-118.421
191509073,4/8/2019,2019-04-05,1545,1532,WHITSETT AV,VICTORY BL,"(34.1867, -118.4052)",3004 3037 3030 3028 3101 3401 3701 4015,34.1867,-118.4052
191510271,5/1/2019,2019-04-30,1550,1555,11300 CAMARILLO ST,,"(34.1577, -118.3771)",3004 3037 3030 3029 3028 3104 3401 3701 4015,34.1577,-118.3771
151518183,9/12/2015,2015-09-12,1555,1588,BARHAM BL,BLAIR DR,"(34.131, -118.3452)",3004 3037 3025 3101 3401 3701 4015,34.131,-118.3452
181523161,12/21/2018,2018-12-14,1555,1589,BARHAM AV,FOREST LAWN DR,"(34.1446, -118.3409)",3036 3024 3101 3401 3701 4026 3009,34.1446,-118.3409
181519590,10/14/2018,2018-10-14,1600,1591,VENTURA BL,LAUREL CANYON BL,"(34.1436, -118.3953)",3025 3101 3401 3701 3004 3037 4015,34.1436,-118.3953
191504984,1/19/2019,2019-01-19,1600,1557,HARTSOOK ST,RIVERTON AV,"(34.1636, -118.3659)",3004 3036 3028 3030 3101 3401 3701 4026,34.1636,-118.3659
171507744,3/6/2017,2017-03-05,1600,1503,HART ST,LAUREL CANYON BL,"(34.1976, -118.3965)",3006 3037 3030 3028 3101 3401 4026,34.1976,-118.3965
191516925,9/6/2019,2019-09-06,1605,1538,VINELAND,COLLINS,"(34.174, -118.3703)",3004 3037 3025 3101 3401 3701 4026,34.174,-118.3703
191509074,4/8/2019,2019-04-04,1605,1501,SHERMAN WY,WOODMAN AV,"(34.2125, -118.4195)",3004 3029 3026 3101 3401 3701 4015 3037,34.2125,-118.4195
151522392,11/27/2015,2015-11-27,1610,1529,VICTORY BL,CRANER AV,"(34.1867, -118.3692)",3036 3034 3025 3101 3401 3701 4026 3004,34.1867,-118.3692
171521212,10/28/2017,2017-10-28,1615,1555,VINELAND AV,HORTENSE ST,"(34.1545, -118.3703)",3006 3037 3025 3101 3401 3701 4026,34.1545,-118.3703
191504419,1/9/2019,2019-01-08,1630,1538,COLFAX AV,CHIQUITA ST,"(34.1758, -118.3746)",3004 3037 3034 3026 3101 3401 3701 4015,34.1758,-118.3746
171514936,7/10/2017,2017-07-10,1630,1524,LAUREL CANYON BL,SYLVAN ST,"(34.1849, -118.3965)",3004 3037 3026 3101 3401 3701 4026,34.1849,-118.3965
181516991,8/30/2018,2018-08-29,1630,1505,SHERMAN WY,BECK AV,"(34.2012, -118.3834)",3036 3004 3030 3028 3101 3401 3701 4015,34.2012,-118.3834
161517577,9/3/2016,2016-09-03,1635,1555,MAGNOLIA BL,KLUMP AV,"(34.1649, -118.3757)",3008 3036 3029 3026 3101 3401 3701 4026,34.1649,-118.3757
191512651,6/17/2019,2019-06-16,1635,1549,BURBANK BL,DENNY AV,"(34.1722, -118.3648)",3009 3602 3036 3029 3024 3101 3701 4015,34.1722,-118.3648
171519128,9/20/2017,2017-08-23,1645,1503,LAUREL CANYON BL,SHERMAN WY,"(34.2014, -118.3965)",3004 3036 3030 3028 3101 3401 3701 4009,34.2014,-118.3965
191505216,1/24/2019,2019-01-24,1655,1586,LANKERSHIM BL,MAIN ST,"(34.1407, -118.3612)",3009 3602 3036 3025 3101 3401 3701 4026,34.1407,-118.3612
171513033,6/4/2017,2017-06-04,1700,1585,VENTURA BL,VINELAND AV,"(34.1405, -118.3702)",0605 3006 3030 3037 3028 3101 3401 3701 4015,34.1405,-118.3702
161510041,4/19/2016,2016-04-19,1700,1557,DENNY AV,MAGNOLIA BL,"(34.1649, -118.3648)",3006 3030 3037 3028 3101 3401 4015 3701,34.1649,-118.3648
151521590,11/14/2015,2015-11-14,1700,1546,IRVINE AV,CHANDLER BL,"(34.1684, -118.3855)",3006 3030 3028 3037 3101 3401 3701 4026,34.1684,-118.3855
161517456,8/31/2016,2016-08-30,1705,1511,COLDWATER CANYON AV,SHERMAN WY,"(34.2012, -118.4138)",3004 3037 3030 3028 3101 3401 3701 4026,34.2012,-118.4138
191518134,9/28/2019,2019-09-28,1710,1589,FOREST LAWN DR,ZOO DR,"(34.1524, -118.3179)",4026 3004 3030 3028 3033 3037 3101 3401 3701,34.1524,-118.3179
191517643,9/18/2019,2019-09-16,1710,1526,TUJUNGA AV,SYLVAN ST,"(34.1849, -118.379)",3004 3037 3029 3026 3101 3401 3701 4015,34.1849,-118.379
151515058,7/17/2015,2015-07-14,1710,1525,VICTORY BL,AGNES AV,"(34.1867, -118.3954)",3004 3036 3026 3101 3701 4015 3401,34.1867,-118.3954
161515565,7/28/2016,2016-07-28,1715,1555,MCCORMICK ST,VINELAND AV,"(34.1589, -118.3742)",3004 3026 3101 3401 3701 4026,34.1589,-118.3742
151520618,10/27/2015,2015-10-27,1720,1566,MOORPARK ST,ENSIGN AV,"(34.1504, -118.3712)",3004 3036 3030 3028 3101 3401 3701 4026,34.1504,-118.3712
151508523,3/20/2015,2015-03-20,1725,1543,MAGNOLIA BL,HERMITAGE AV,"(34.1649, -118.4003)",0605 3004 3037 3026 3101 3401 3701 4015,34.1649,-118.4003
181506553,2/18/2018,2018-02-17,1730,1538,ELMER AV,BURBANK BL,"(34.1722, -118.3763)",3006 3030 3028 3037 3101 3401 3701 4015,34.1722,-118.3763
161515107,7/20/2016,2016-07-20,1730,1539,CLYBOURN AV,OXNARD ST,"(34.1794, -118.3588)",3004 3036 3025 3101 3401 3701 4026,34.1794,-118.3588
191506998,2/26/2019,2019-02-18,1730,1525,LAUREL CANYON BL,ERWIN ST,"(34.183, -118.3965)",3004 3036 3026 3101 3401 3701 4015,34.183,-118.3965
171517644,8/25/2017,2017-08-25,1735,1567,E CAHUENGA BL,RIVERSIDE DR,"(34.1522, -118.3615)",3004 3026 3036 3101 3401 3701 4015,34.1522,-118.3615
